Client,Code,Url
Duquin,DUQ00002,https://www.elgigantedelhogar.com/aire-acondicionado-mini-mmt12cdbwccc8-blanco-mabe/p
Duquin,DUQ00003,https://www.elgigantedelhogar.com/aire-acond-12000-btu-220w-hyundai/p
Duquin,DUQ00004,https://www.elgigantedelhogar.com/aire-acon-mini-12k-btu-110v-mabe/p
Duquin,DUQ00005,https://www.elgigantedelhogar.com/aire-acond-invet-12000-btu-110w-hyundai/p
Duquin,DUQ00006,https://www.elgigantedelhogar.com/aire-acon-mini-12k-btu-220v-mabe/p
Duquin,DUQ00007,https://www.elgigantedelhogar.com/lavadora-semiautomatica-7kg-blanca-haceb/p
Duquin,DUQ00008,https://www.elgigantedelhogar.com/lavadora-semiautomatica-7kg-blanca-challenger/p
Duquin,DUQ00009,https://www.elgigantedelhogar.com/lavadora-semiautomatica-13-kg-blanca-mabe/p
Duquin,DUQ00010,https://www.elgigantedelhogar.com/lavadora-semiautomatica-11-kg-blanca-mabe/p
Duquin,DUQ00011,https://www.elgigantedelhogar.com/lavadora-semiautomatica-10-kg-blanca-hisense/p
Duquin,DUQ00012,https://www.elgigantedelhogar.com/lavadora-semiautomatica-13-kg-blanca-haceb/p
Duquin,DUQ00013,https://www.elgigantedelhogar.com/lavadora-semiautomatica-16-kg-blanca-mabe/p
Duquin,DUQ00014,https://www.elgigantedelhogar.com/nevera-no-frost-243l-titanio-haceb/p
Duquin,DUQ00015,https://www.elgigantedelhogar.com/nevera-frost-320-litros-grafito-mabe/p
Duquin,DUQ00016,https://www.elgigantedelhogar.com/refrigerador-cycle-2p-390l-g-mabe/p
Duquin,DUQ00017,https://www.elgigantedelhogar.com/nevera-no-frost-311-litros-titanio-haceb/p
Duquin,DUQ00018,https://www.elgigantedelhogar.com/nevera-no-frost-404-litros-titanio-haceb/p
Duquin,DUQ00019,https://www.elgigantedelhogar.com/estufa-avellana-t-gn-ng-haceb/p
Duquin,DUQ00020,https://www.elgigantedelhogar.com/estufa-romero-reflex-50-v-gn-ne-haceb/p
Duquin,DUQ00021,https://www.elgigantedelhogar.com/estufa-piso-4-puestos-gas-natural-horno-romero-plata-haceb/p
Duquin,DUQ00022,https://www.elgigantedelhogar.com/estufa-de-mesa-4-puestos-gas-propano-negra-haceb/p
Duquin,DUQ00023,https://www.elgigantedelhogar.com/estufa-mesa-2-puestos-gas-propano-negra-haceb/p
Duquin,DUQ00024,https://www.elgigantedelhogar.com/estufa-2p-elec-gr-jaspe-home-elements/p
Duquin,DUQ00025,https://www.elgigantedelhogar.com/cocina-gas-4p-encendido-aut-challenger/p
Duquin,DUQ00026,https://www.elgigantedelhogar.com/estufa-romero-gab-t-gn-pl-haceb/p
Duquin,DUQ00027,https://www.elgigantedelhogar.com/estufa-oregano-60-vf-gn-inox-haceb/p
Duquin,DUQ00028,https://www.elgigantedelhogar.com/estufa-romero-gab-v-gn-pl-haceb/p
Duquin,DUQ00029,https://www.elgigantedelhogar.com/estufa-romero-gab-t-gp-pl-haceb/p
Duquin,DUQ00030,https://www.elgigantedelhogar.com/cocineta-pimienta-2p-gn-gr-haceb/p
Duquin,DUQ00031,https://www.elgigantedelhogar.com/estufa-em-avellana-t-gp-pl-haceb/p
Duquin,DUQ00032,https://www.elgigantedelhogar.com/estufa-avellana-v-gn-ne-haceb/p
Duquin,DUQ00033,https://www.elgigantedelhogar.com/estufa-avellana-t-gn-pl-haceb/p
Duquin,DUQ00034,https://www.elgigantedelhogar.com/estufa-empotrar-4p-inox-58cm-challenger/p
Duquin,DUQ00035,https://www.elgigantedelhogar.com/cocina-gas-60cm-inx-mabe/p
Duquin,DUQ00036,https://www.elgigantedelhogar.com/cocineta-pimienta-2p-gp-gr-haceb/p
Duquin,DUQ00037,https://www.elgigantedelhogar.com/cubierta-al-60-43-inox-gn-haceb/p
Duquin,DUQ00038,https://www.elgigantedelhogar.com/cubierta-al-60-43-vidrio-haceb/p
Duquin,DUQ00039,https://www.elgigantedelhogar.com/freidora-aire-haceb-4-2-litros-negra/p
Duquin,DUQ00040,https://www.elgigantedelhogar.com/freidora-de-aire-digital-negro-mabe/p
Duquin,DUQ00041,https://www.elgigantedelhogar.com/air-fryer-4-5l-negra-black-decker/p
Duquin,DUQ00042,https://www.elgigantedelhogar.com/freidora-aire-esencial-3-2-litros-negra-imusa/p
Duquin,DUQ00043,https://www.elgigantedelhogar.com/horno-microondas-k-mw07n-negro-kalley/p
Duquin,DUQ00044,https://www.elgigantedelhogar.com/horno-tostador-9-lt-negro-kalley/p
Duquin,DUQ00045,https://www.elgigantedelhogar.com/horno-microondas-0-7-mge07sej-espejo-gris-mabe/p
Duquin,DUQ00046,https://www.elgigantedelhogar.com/horno-microondas-azafran-negro-haceb/p
Duquin,DUQ00047,https://www.elgigantedelhogar.com/horno-microondas-0-9-efecto-espejo-mabe/p
Duquin,DUQ00048,https://www.elgigantedelhogar.com/horno-microondas-0-9-gris-kalley/p
Duquin,DUQ00049,https://www.elgigantedelhogar.com/horno-microondas-1-1-azafran-haceb/p
Electromillonaria,ELE00050,https://electromillonaria-online.com/product/congelador-jlc-520-litros-jlc-520cfv/
Electromillonaria,ELE00051,https://electromillonaria-online.com/product/congelador-electrolux-horizontal-708l-efc70w3htw/
Electromillonaria,ELE00052,https://electromillonaria-online.com/product/congelador-electrolux-318lt-blanco-efcc32c3hqw/
Electromillonaria,ELE00053,https://electromillonaria-online.com/product/congelador-jlc-293lt-horiz-1p-jlc-386/
Electromillonaria,ELE00054,https://electromillonaria-online.com/product/congelador-jlc-508lt-horiz-2p-jlc-677/
Electromillonaria,ELE00055,https://electromillonaria-online.com/product/congelador-electrolux-508lt-horiz-blanco-efc50w3htw/
Electromillonaria,ELE00056,https://electromillonaria-online.com/product/congelador-electrolux-200lt-horiz-1p-efcc20c3hqw/
Electromillonaria,ELE00057,https://electromillonaria-online.com/product/congelador-jlc-99lt-horiz-1p-jlc-130/
Electromillonaria,ELE00058,https://electromillonaria-online.com/product/cong-hor-frost-bl-150-lts-efcc15c3hqw/
Electromillonaria,ELE00059,https://electromillonaria-online.com/product/congelador-jlc-249lt-horiz-1p-jlc-324/
Electromillonaria,ELE00060,https://electromillonaria-online.com/product/congelador-exhibidor-jlc-254lt-horiz-2p-jlc-439/
Electromillonaria,ELE00061,https://electromillonaria-online.com/product/congelador-jlc-418lt-horiz-2p-jlc-543/
Electromillonaria,ELE00062,https://electromillonaria-online.com/product/congelador-jlc-198lt-horiz-1p-jlc-259/
Electromillonaria,ELE00063,https://electromillonaria-online.com/product/congelador-jlc-142lt-horizontal-jlc-186/
Electromillonaria,ELE00064,https://electromillonaria-online.com/product/nevecon-electrolux-side-by-side-530lt-si/
Electromillonaria,ELE00065,https://electromillonaria-online.com/product/nevecon-jlc-555lt-nofrost-inverter-2p-negro/
Electromillonaria,ELE00066,https://electromillonaria-online.com/product/nevera-mabe-no-frost-415-l-brutos-grafito-rmp415gcg/
